week,forecast,lower,upper
157,106.09222129881245,86.0904902412697,126.09395235635519
158,106.88224545756421,83.82510417242074,129.93938674270768
159,110.01105699878516,85.09207307377295,134.93004092379738
160,107.96256375844183,81.15633818859591,134.76878932828774
161,107.08698521496363,78.45840465689967,135.7155657730276
162,108.80051579074794,78.46422741580261,139.13680416569326
163,108.80089410626007,76.85209048347573,140.7496977290444
164,106.43408933035283,72.95029842423652,139.91788023646916
165,106.64932627273873,71.69764032693038,141.60101221854708
166,111.16885966500301,74.80847406904289,147.52924526096314
167,110.30798447278273,72.591492078028807,148.02447686753666
168,111.5992931674184,72.57379139756317,150.62479493727363
